# family: gcc
# compiler: g++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
library,filter_type,order,method,max_b_err,max_a_err,max_step_err
constfilt,butterworth,18,prewarp,3.640000e+03,3.926981e+03,7.193129e+15
constfilt,butterworth,19,prewarp,7.072000e+03,7.633338e+03,5.160525e+17
constfilt,butterworth,20,prewarp,1.326000e+04,1.387510e+04,3.224845e+22
constfilt,butterworth,21,prewarp,2.519400e+04,2.658407e+04,1.000000e+00
constfilt,butterworth,22,prewarp,4.845000e+04,4.999568e+04,1.000000e+00
constfilt,butterworth,23,prewarp,1.000000e+00,0.000000e+00,5.081275e+31
constfilt,butterworth,24,prewarp,1.000000e+00,0.000000e+00,1.000000e+00
constfilt,butterworth,25,prewarp,1.000000e+00,0.000000e+00,1.000000e+00
constfilt,butterworth,1,matchedz_sos,n/a,n/a,3.330669e-16
constfilt,butterworth,2,matchedz_sos,n/a,n/a,1.665335e-15
constfilt,butterworth,3,matchedz_sos,n/a,n/a,8.881784e-16
constfilt,butterworth,4,matchedz_sos,n/a,n/a,1.376677e-14
constfilt,butterworth,5,matchedz_sos,n/a,n/a,5.306866e-14
constfilt,butterworth,6,matchedz_sos,n/a,n/a,7.294165e-14
constfilt,butterworth,7,matchedz_sos,n/a,n/a,9.654499e-13
constfilt,butterworth,8,matchedz_sos,n/a,n/a,3.304024e-13
constfilt,butterworth,9,matchedz_sos,n/a,n/a,4.512390e-12
constfilt,butterworth,10,matchedz_sos,n/a,n/a,2.807532e-12
constfilt,butterworth,11,matchedz_sos,n/a,n/a,8.030909e-12
constfilt,butterworth,12,matchedz_sos,n/a,n/a,3.708067e-10
constfilt,butterworth,13,matchedz_sos,n/a,n/a,1.881006e-10
constfilt,butterworth,14,matchedz_sos,n/a,n/a,2.597125e-10
constfilt,butterworth,15,matchedz_sos,n/a,n/a,4.249794e-10
constfilt,butterworth,16,matchedz_sos,n/a,n/a,2.047217e-08
constfilt,butterworth,17,matchedz_sos,n/a,n/a,8.480255e-08
constfilt,butterworth,18,matchedz_sos,n/a,n/a,2.729749e-07
constfilt,butterworth,19,matchedz_sos,n/a,n/a,2.567289e-07
constfilt,butterworth,20,matchedz_sos,n/a,n/a,7.260075e-07
constfilt,butterworth,21,matchedz_sos,n/a,n/a,1.120254e-06
constfilt,butterworth,22,matchedz_sos,n/a,n/a,1.166077e-05
constfilt,butterworth,23,matchedz_sos,n/a,n/a,2.075918e-05
constfilt,butterworth,24,matchedz_sos,n/a,n/a,1.238238e-04
constfilt,butterworth,25,matchedz_sos,n/a,n/a,6.340685e-04
constfilt,butterworth,1,prewarp_sos,n/a,n/a,3.330669e-16
constfilt,butterworth,2,prewarp_sos,n/a,n/a,1.776357e-15
constfilt,butterworth,3,prewarp_sos,n/a,n/a,1.110223e-15
constfilt,butterworth,4,prewarp_sos,n/a,n/a,1.054712e-14
constfilt,butterworth,5,prewarp_sos,n/a,n/a,1.332268e-14
constfilt,butterworth,6,prewarp_sos,n/a,n/a,4.862777e-14
constfilt,butterworth,7,prewarp_sos,n/a,n/a,4.286571e-13
constfilt,butterworth,8,prewarp_sos,n/a,n/a,1.002753e-12
constfilt,butterworth,9,prewarp_sos,n/a,n/a,1.526779e-12
constfilt,butterworth,10,prewarp_sos,n/a,n/a,1.745915e-11
constfilt,butterworth,11,prewarp_sos,n/a,n/a,3.324119e-11
constfilt,butterworth,12,prewarp_sos,n/a,n/a,3.786127e-10
constfilt,butterworth,13,prewarp_sos,n/a,n/a,3.869507e-10
constfilt,butterworth,14,prewarp_sos,n/a,n/a,1.368681e-09
constfilt,butterworth,15,prewarp_sos,n/a,n/a,2.211334e-09
constfilt,butterworth,16,prewarp_sos,n/a,n/a,1.197140e-08
constfilt,butterworth,17,prewarp_sos,n/a,n/a,2.730174e-08
constfilt,butterworth,18,prewarp_sos,n/a,n/a,1.902835e-08
constfilt,butterworth,19,prewarp_sos,n/a,n/a,2.303770e-07
constfilt,butterworth,20,prewarp_sos,n/a,n/a,4.362657e-07
constfilt,butterworth,21,prewarp_sos,n/a,n/a,8.081375e-06
constfilt,butterworth,22,prewarp_sos,n/a,n/a,1.417986e-05
constfilt,butterworth,23,prewarp_sos,n/a,n/a,1.224553e+00
constfilt,butterworth,24,prewarp_sos,n/a,n/a,1.224831e+00
constfilt,butterworth,25,prewarp_sos,n/a,n/a,1.224862e+00
constfilt,butterworth,1,matchedz_vs_sos_ref,5.551115e-17,0.000000e+00,3.330669e-16
