# family: gcc
# compiler: g++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
library,filter_type,order,method,max_b_err,max_a_err,max_step_err
constfilt,elliptic,11,tustin,4.636392e-06,4.578017e-05,1.909723e-06
constfilt,elliptic,12,tustin,2.214322e-04,4.765450e-04,1.060692e-05
iir1,butterworth,1,tustin,n/a,n/a,1.255422e-02
iir1,butterworth,2,tustin,n/a,n/a,2.223951e-02
iir1,butterworth,3,tustin,n/a,n/a,3.137124e-02
iir1,butterworth,4,tustin,n/a,n/a,3.922861e-02
iir1,butterworth,5,tustin,n/a,n/a,4.621601e-02
iir1,butterworth,6,tustin,n/a,n/a,5.257658e-02
iir1,butterworth,7,tustin,n/a,n/a,5.846263e-02
iir1,butterworth,8,tustin,n/a,n/a,6.414477e-02
iir1,butterworth,9,tustin,n/a,n/a,7.034108e-02
iir1,butterworth,10,tustin,n/a,n/a,7.622910e-02
iir1,butterworth,11,tustin,n/a,n/a,8.184978e-02
iir1,butterworth,12,tustin,n/a,n/a,8.723651e-02
kfr,butterworth,1,tustin,n/a,n/a,1.255422e-02
kfr,butterworth,2,tustin,n/a,n/a,2.223951e-02
kfr,butterworth,3,tustin,n/a,n/a,3.137124e-02
kfr,butterworth,4,tustin,n/a,n/a,3.922861e-02
kfr,butterworth,5,tustin,n/a,n/a,4.621601e-02
kfr,butterworth,6,tustin,n/a,n/a,5.257658e-02
kfr,butterworth,7,tustin,n/a,n/a,5.846263e-02
kfr,butterworth,8,tustin,n/a,n/a,6.414477e-02
kfr,butterworth,9,tustin,n/a,n/a,7.034108e-02
kfr,butterworth,10,tustin,n/a,n/a,7.622910e-02
kfr,butterworth,11,tustin,n/a,n/a,8.184978e-02
kfr,butterworth,12,tustin,n/a,n/a,8.723651e-02
kfr,elliptic,2,tustin,n/a,n/a,2.354298e-02
kfr,elliptic,3,tustin,n/a,n/a,3.325324e-02
kfr,elliptic,4,tustin,n/a,n/a,3.757421e-02
kfr,elliptic,5,tustin,n/a,n/a,3.916394e-02
kfr,elliptic,6,tustin,n/a,n/a,4.077109e-02
kfr,elliptic,7,tustin,n/a,n/a,4.026628e-02
kfr,elliptic,8,tustin,n/a,n/a,4.043680e-02
kfr,elliptic,9,tustin,n/a,n/a,4.037971e-02
kfr,elliptic,10,tustin,n/a,n/a,4.077085e-02
kfr,elliptic,11,tustin,n/a,n/a,4.052235e-02
kfr,elliptic,12,tustin,n/a,n/a,4.084847e-02
